original_id,id,is_cover,song_text_type,label
1779165,1000121,True,transcription,1
326821,1000402,True,transcription,3
187917,1000465,True,transcription,4
100048,100068,True,transcription,8
1347582,1001001,True,transcription,12
1713481,1001093,True,transcription,13
344398,1001235,True,transcription,14
145948,1001397,True,transcription,15
1545,1001424,True,transcription,16
1393482,1001564,True,transcription,19
193141,1001635,True,transcription,20
1295971,1001729,True,transcription,21
314987,1002185,True,transcription,24
1611059,1002405,True,transcription,25
433922,1002538,True,transcription,27
1059,1002547,True,transcription,28
307289,1002948,True,transcription,30
1151232,1003018,True,transcription,31
156071,1003023,True,transcription,32
136452,1003272,True,transcription,33
181111,1003346,True,transcription,34
1401776,1003417,True,transcription,36
1787173,1003644,True,transcription,38
1727841,1003701,True,transcription,39
1013156,1003720,True,transcription,40
152862,1004198,True,transcription,42
1107975,1004697,True,transcription,45
116281,1004895,True,transcription,46
198562,1005009,True,transcription,47
1690713,1005188,True,transcription,49
1631116,1005570,True,transcription,50
2880464,1005645,True,transcription,51
2959209,1005742,True,transcription,52
290344,1005834,True,transcription,53
2044454,1005933,True,transcription,55
2290025,1006281,True,transcription,58
1377495,1006387,True,transcription,59
141375,1006558,True,transcription,60
119609,1006983,True,transcription,62
4140,1007228,True,transcription,64
1143832,1007230,True,transcription,65
138769,1007479,True,transcription,68
100856,1007749,True,transcription,70
207155,1007912,True,transcription,71
1079619,1007914,True,transcription,72
1061701,1007956,True,transcription,73
1355968,1008057,True,transcription,74
1025553,1008072,True,transcription,75
198560,1008297,True,transcription,77
2097135,1008428,True,transcription,78
1661598,1008462,True,transcription,79
433326,1008638,True,transcription,81
1559894,1008765,True,transcription,82
205311,1008838,True,transcription,83
424250,1008900,True,transcription,84
1757488,1008918,True,transcription,85
1631116,1009141,True,transcription,50
1560331,1009227,True,transcription,87
101710,1009375,True,transcription,88
104246,1009492,True,transcription,89
120213,1009598,True,transcription,90
394234,1009642,True,transcription,91
200641,1009733,True,transcription,92
